Provincias	Comunidad autónoma de procedencia	Total
Ciudad Real	Murcia, Región de	2,74
Ciudad Real	Navarra, Comunidad Foral de	0,74
Ciudad Real	País Vasco	2,68
Ciudad Real	Rioja, La	0,51
Ciudad Real	Ceuta	0,19
Ciudad Real	Melilla	0,12
Córdoba	Total	100
Córdoba	Andalucía	45,5
Córdoba	Aragón	1,55
Córdoba	Asturias, Principado de	0,79
Córdoba	Balears, Illes	0,74
Córdoba	Canarias	0,86
Córdoba	Cantabria	0,58
Córdoba	Castilla y León	2,89
Córdoba	Castilla - La Mancha	4,02
Córdoba	Cataluña	8,16
Córdoba	Comunitat Valenciana	5,78
Córdoba	Extremadura	2,91
Córdoba	Galicia	1,62
Córdoba	Madrid, Comunidad de	18,87
Córdoba	Murcia, Región de	2,17
Córdoba	Navarra, Comunidad Foral de	0,82
Córdoba	País Vasco	1,84
Córdoba	Rioja, La	0,33
Córdoba	Ceuta	0,3
Córdoba	Melilla	0,27
Coruña, A	Total	100
Coruña, A	Andalucía	9,83
Coruña, A	Aragón	1,22
Coruña, A	Asturias, Principado de	4,36
Coruña, A	Balears, Illes	1,71
Coruña, A	Canarias	2,92
Coruña, A	Cantabria	1,37
Coruña, A	Castilla y León	5,22
Coruña, A	Castilla - La Mancha	2,55
Coruña, A	Cataluña	7,5
Coruña, A	Comunitat Valenciana	5,53
Coruña, A	Extremadura	1,26
Coruña, A	Galicia	30,48
Coruña, A	Madrid, Comunidad de	19,68
Coruña, A	Murcia, Región de	1,44
Coruña, A	Navarra, Comunidad Foral de	0,76
Coruña, A	País Vasco	3,46
Coruña, A	Rioja, La	0,54
Coruña, A	Ceuta	0,13
Coruña, A	Melilla	0,05
Cuenca	Total	100
Cuenca	Andalucía	8,26
Cuenca	Aragón	2,8
Cuenca	Asturias, Principado de	1,33
Cuenca	Balears, Illes	1,14
Cuenca	Canarias	0,78
Cuenca	Cantabria	0,57
Cuenca	Castilla y León	4,25
Cuenca	Castilla - La Mancha	16,99
Cuenca	Cataluña	7,82
Cuenca	Comunitat Valenciana	17,15
Cuenca	Extremadura	1,37
Cuenca	Galicia	2,69
Cuenca	Madrid, Comunidad de	26,88
Cuenca	Murcia, Región de	4,08
Cuenca	Navarra, Comunidad Foral de	0,73
Cuenca	País Vasco	2,46
Cuenca	Rioja, La	0,53
Cuenca	Ceuta	0,12
Cuenca	Melilla	0,04
Gipuzkoa	Total	100
Gipuzkoa	Andalucía	6,05
Gipuzkoa	Aragón	4,25
Gipuzkoa	Asturias, Principado de	2,49
Gipuzkoa	Balears, Illes	1,04
Gipuzkoa	Canarias	1,35
Gipuzkoa	Cantabria	1,86
Gipuzkoa	Castilla y León	5,77
Gipuzkoa	Castilla - La Mancha	2,31
Gipuzkoa	Cataluña	15,65
Gipuzkoa	Comunitat Valenciana	4,81
Gipuzkoa	Extremadura	1,04
Gipuzkoa	Galicia	3,86
Gipuzkoa	Madrid, Comunidad de	24,64
Gipuzkoa	Murcia, Región de	0,82
Gipuzkoa	Navarra, Comunidad Foral de	4,6
Gipuzkoa	País Vasco	17,65
Gipuzkoa	Rioja, La	1,7
Gipuzkoa	Ceuta	0,07
Gipuzkoa	Melilla	0,01
Girona	Total	100
Girona	Andalucía	2,12
Girona	Aragón	1,18
Girona	Asturias, Principado de	0,38
Girona	Balears, Illes	0,64
Girona	Canarias	0,39
Girona	Cantabria	0,24
Girona	Castilla y León	0,82
Girona	Castilla - La Mancha	0,7
Girona	Cataluña	78,78
Girona	Comunitat Valenciana	4,14
Girona	Extremadura	0,3
Girona	Galicia	0,92
Girona	Madrid, Comunidad de	5,56
Girona	Murcia, Región de	0,74
Girona	Navarra, Comunidad Foral de	0,56
Girona	País Vasco	2,26
Girona	Rioja, La	0,23
Girona	Ceuta	0,03
Girona	Melilla	0,01
Granada	Total	100
Granada	Andalucía	50,46
Granada	Aragón	1,18
Granada	Asturias, Principado de	0,56
Granada	Balears, Illes	1,18
Granada	Canarias	1,11
Granada	Cantabria	0,4
Granada	Castilla y León	2,26
Granada	Castilla - La Mancha	3,13
Granada	Cataluña	5,8
Granada	Comunitat Valenciana	7,16
Granada	Extremadura	1,45
Granada	Galicia	1,18
Granada	Madrid, Comunidad de	16,85
Granada	Murcia, Región de	4,57
Granada	Navarra, Comunidad Foral de	0,46
Granada	País Vasco	1,31
Granada	Rioja, La	0,24
Granada	Ceuta	0,43
Granada	Melilla	0,25
Guadalajara	Total	100
Guadalajara	Andalucía	7,67
Guadalajara	Aragón	3,16
Guadalajara	Asturias, Principado de	1,3
Guadalajara	Balears, Illes	0,61
Guadalajara	Canarias	0,63
Guadalajara	Cantabria	0,9
Guadalajara	Castilla y León	4,32
Guadalajara	Castilla - La Mancha	18,43
Guadalajara	Cataluña	12,65
Guadalajara	Comunitat Valenciana	8,51
Guadalajara	Extremadura	1,78
Guadalajara	Galicia	2,32
Guadalajara	Madrid, Comunidad de	31,22
Guadalajara	Murcia, Región de	1,66
Guadalajara	Navarra, Comunidad Foral de	1,15
Guadalajara	País Vasco	2,95
Guadalajara	Rioja, La	0,63
Guadalajara	Ceuta	0,08
Guadalajara	Melilla	0,03
Huelva	Total	100
Huelva	Andalucía	60
Huelva	Aragón	0,76
Huelva	Asturias, Principado de	0,98
Huelva	Balears, Illes	0,37
Huelva	Canarias	0,91
Huelva	Cantabria	0,47
Huelva	Castilla y León	4,1
Huelva	Castilla - La Mancha	2,49
Huelva	Cataluña	2,39
Huelva	Comunitat Valenciana	1,63
Huelva	Extremadura	9,86
Huelva	Galicia	1,66
Huelva	Madrid, Comunidad de	10,33
Huelva	Murcia, Región de	0,71
Huelva	Navarra, Comunidad Foral de	0,4
Huelva	País Vasco	2,32
Huelva	Rioja, La	0,34
Huelva	Ceuta	0,2
Huelva	Melilla	0,07
Huesca	Total	100
Huesca	Andalucía	4,57
Huesca	Aragón	21,06
Huesca	Asturias, Principado de	0,96
Huesca	Balears, Illes	0,76
Huesca	Canarias	0,7
Huesca	Cantabria	0,97
Huesca	Castilla y León	3,15
Huesca	Castilla - La Mancha	2,21
Huesca	Cataluña	20,26
Huesca	Comunitat Valenciana	8,38
Huesca	Extremadura	0,59
Huesca	Galicia	1,23
Huesca	Madrid, Comunidad de	21,12
Huesca	Murcia, Región de	1,21
Huesca	Navarra, Comunidad Foral de	3,31
Huesca	País Vasco	8,29
Huesca	Rioja, La	1,2
Huesca	Ceuta	0,03
Huesca	Melilla	0,02
Jaén	Total	100
Jaén	Andalucía	50,42
Jaén	Aragón	0,97
Jaén	Asturias, Principado de	0,7
Jaén	Balears, Illes	0,87
Jaén	Canarias	0,54
Jaén	Cantabria	0,36
Jaén	Castilla y León	1,7
Jaén	Castilla - La Mancha	4,14
Jaén	Cataluña	5,6
Jaén	Comunitat Valenciana	6,89
Jaén	Extremadura	1,4
Jaén	Galicia	0,97
Jaén	Madrid, Comunidad de	18,97
Jaén	Murcia, Región de	3,82
Jaén	Navarra, Comunidad Foral de	0,52
Jaén	País Vasco	1,66
Jaén	Rioja, La	0,22
Jaén	Ceuta	0,24
Jaén	Melilla	0,05
León	Total	100
León	Andalucía	8,23
León	Aragón	1,74
León	Asturias, Principado de	10,2
León	Balears, Illes	0,71
León	Canarias	0,97
León	Cantabria	3,19
León	Castilla y León	18,08
León	Castilla - La Mancha	2,68
León	Cataluña	6,78
León	Comunitat Valenciana	3,99
León	Extremadura	1,32
León	Galicia	11,91
León	Madrid, Comunidad de	19,91
León	Murcia, Región de	0,86
León	Navarra, Comunidad Foral de	1,68
León	País Vasco	6,35
León	Rioja, La	1,14
León	Ceuta	0,21
León	Melilla	0,02
Lleida	Total	100
Lleida	Andalucía	2,8
Lleida	Aragón	2,3
Lleida	Asturias, Principado de	0,81
Lleida	Balears, Illes	1,23
Lleida	Canarias	0,47
Lleida	Cantabria	0,83
Lleida	Castilla y León	1,36
Lleida	Castilla - La Mancha	1,05
Lleida	Cataluña	64,89
Lleida	Comunitat Valenciana	5,23
Lleida	Extremadura	0,37
Lleida	Galicia	1,1
